id,name,url
55,George Roy Hill,https://imdb.com/name/nm0001351
56,Gillo Pontecorvo,https://imdb.com/name/nm0690597
57,Giuseppe Tornatore,https://imdb.com/name/nm0868153
58,Gore Verbinski,https://imdb.com/name/nm0893659
59,Guillermo del Toro,https://imdb.com/name/nm0868219
60,Gus Van Sant,https://imdb.com/name/nm0001814
61,Guy Ritchie,https://imdb.com/name/nm0005363
62,Harold Ramis,https://imdb.com/name/nm0000601
63,Hayao Miyazaki,https://imdb.com/name/nm0594503
64,Henri-Georges Clouzot,https://imdb.com/name/nm0167241
65,Ingmar Bergman,https://imdb.com/name/nm0000005
66,Irvin Kershner,https://imdb.com/name/nm0449984
67,Isao Takahata,https://imdb.com/name/nm0847223
68,James Cameron,https://imdb.com/name/nm0000116
69,James Mangold,https://imdb.com/name/nm0003506
70,James McTeigue,https://imdb.com/name/nm0574625
71,Jan Pinkava,https://imdb.com/name/nm0684342
72,Jean-Pierre Jeunet,https://imdb.com/name/nm0000466
73,Jim Sheridan,https://imdb.com/name/nm0006487
74,Joaquim Dos Santos,https://imdb.com/name/nm1690966
75,Joe Russo,https://imdb.com/name/nm0751648
76,Joel Coen,https://imdb.com/name/nm0001054
77,John Carpenter,https://imdb.com/name/nm0000118
78,John Ford,https://imdb.com/name/nm0000406
79,John G. Avildsen,https://imdb.com/name/nm0000814
80,John Huston,https://imdb.com/name/nm0001379
81,John Lasseter,https://imdb.com/name/nm0005124
82,John McTiernan,https://imdb.com/name/nm0001532
83,John Musker,https://imdb.com/name/nm0615780
84,John Sturges,https://imdb.com/name/nm0836328
85,Jon Watts,https://imdb.com/name/nm1218281
86,Jonathan Demme,https://imdb.com/name/nm0001129
87,Joseph Kosinski,https://imdb.com/name/nm2676052
88,Joseph L. Mankiewicz,https://imdb.com/name/nm0000581
89,Juan José Campanella,https://imdb.com/name/nm0002728
90,Justin K. Thompson,https://imdb.com/name/nm1042511
91,Kemp Powers,https://imdb.com/name/nm5358492
92,Kevin Costner,https://imdb.com/name/nm0000126
93,King Vidor,https://imdb.com/name/nm0896542
94,Kátia Lund,https://imdb.com/name/nm0526199
95,Lana Wachowski,https://imdb.com/name/nm0905154
96,Lasse Hallström,https://imdb.com/name/nm0002120
97,Lee Unkrich,https://imdb.com/name/nm0881279
98,Lenny Abrahamson,https://imdb.com/name/nm1049433
99,Lilly Wachowski,https://imdb.com/name/nm0905152
100,Luc Besson,https://imdb.com/name/nm0000108
101,M. Night Shyamalan,https://imdb.com/name/nm0796117
102,Majid Majidi,https://imdb.com/name/nm0006498
103,Makoto Shinkai,https://imdb.com/name/nm1396121
104,Martin McDonagh,https://imdb.com/name/nm1732981
105,Martin Scorsese,https://imdb.com/name/nm0000217
106,Masaki Kobayashi,https://imdb.com/name/nm0462030
107,Mathieu Kassovitz,https://imdb.com/name/nm0440913
108,Mel Gibson,https://imdb.com/name/nm0000154
109,Michael Cimino,https://imdb.com/name/nm0001047
110,Michael Curtiz,https://imdb.com/name/nm0002031
111,Michael Mann,https://imdb.com/name/nm0000520
112,Michel Gondry,https://imdb.com/name/nm0327273
113,Milos Forman,https://imdb.com/name/nm0001232
114,Nadine Labaki,https://imdb.com/name/nm1701024
115,Nishikant Kamat,https://imdb.com/name/nm1723225
116,Nitesh Tiwari,https://imdb.com/name/nm4318159
117,Oliver Hirschbiegel,https://imdb.com/name/nm0386570
118,Oliver Stone,https://imdb.com/name/nm0000231
119,Olivier Nakache,https://imdb.com/name/nm0619923
120,Orson Welles,https://imdb.com/name/nm0000080
121,Park Chan-wook,https://imdb.com/name/nm0661791
122,Paul Thomas Anderson,https://imdb.com/name/nm0000759
123,Pete Docter,https://imdb.com/name/nm0230032
124,Peter Farrelly,https://imdb.com/name/nm0268380
125,Peter Jackson,https://imdb.com/name/nm0001392
126,Peter Ramsey,https://imdb.com/name/nm0709056
127,Peter Weir,https://imdb.com/name/nm0001837
128,Quentin Tarantino,https://imdb.com/name/nm0000233
129,Rajkumar Hirani,https://imdb.com/name/nm0386246
130,Richard Linklater,https://imdb.com/name/nm0000500
131,Richard Marquand,https://imdb.com/name/nm0549658
132,Ridley Scott,https://imdb.com/name/nm0000631
133,Rob Minkoff,https://imdb.com/name/nm0591450
134,Rob Reiner,https://imdb.com/name/nm0001661
135,Robert Mulligan,https://imdb.com/name/nm0612322
136,Robert Wise,https://imdb.com/name/nm0936404
137,Robert Zemeckis,https://imdb.com/name/nm0000709
138,Roberto Benigni,https://imdb.com/name/nm0000905
139,Rodney Rothman,https://imdb.com/name/nm0745247
140,Roger Allers,https://imdb.com/name/nm0021249
141,Roman Polanski,https://imdb.com/name/nm0000591
142,Ron Clements,https://imdb.com/name/nm0166256
143,Ron Howard,https://imdb.com/name/nm0000165
144,Ronnie Del Carmen,https://imdb.com/name/nm0215455
145,Sam Mendes,https://imdb.com/name/nm0005222
146,Sam Wood,https://imdb.com/name/nm0939992
147,Sean Penn,https://imdb.com/name/nm0000576
148,Sergio Leone,https://imdb.com/name/nm0001466
149,Sergio Pablos,https://imdb.com/name/nm0655053
150,Sidney Lumet,https://imdb.com/name/nm0001486
151,Stanley Donen,https://imdb.com/name/nm0002045
152,Stanley Kramer,https://imdb.com/name/nm0006452
153,Stanley Kubrick,https://imdb.com/name/nm0000040
154,Steve McQueen,https://imdb.com/name/nm2588606
155,Steven Spielberg,https://imdb.com/name/nm0000229
156,Stuart Rosenberg,https://imdb.com/name/nm0742341
157,T.J. Gnanavel,https://imdb.com/name/nm4377096
158,Tate Taylor,https://imdb.com/name/nm0853238
159,Terry George,https://imdb.com/name/nm0313623
160,Terry Gilliam,https://imdb.com/name/nm0000416
161,Terry Jones,https://imdb.com/name/nm0001402
162,Thomas Kail,https://imdb.com/name/nm2371802
163,Thomas Vinterberg,https://imdb.com/name/nm0899121
164,Todd Phillips,https://imdb.com/name/nm0680846
165,Tom McCarthy,https://imdb.com/name/nm0565336
166,Tony Kaye,https://imdb.com/name/nm0443411
167,Victor Fleming,https://imdb.com/name/nm0281808
168,Vidhu Vinod Chopra,https://imdb.com/name/nm0006765
169,Vittorio De Sica,https://imdb.com/name/nm0001120
170,Wes Anderson,https://imdb.com/name/nm0027572
171,William Friedkin,https://imdb.com/name/nm0001243
172,William Wyler,https://imdb.com/name/nm0943758
173,Wim Wenders,https://imdb.com/name/nm0000694
174,Wolfgang Petersen,https://imdb.com/name/nm0000583
175,Yasujirô Ozu,https://imdb.com/name/nm0654868
176,Çagan Irmak,https://imdb.com/name/nm1463981
177,Éric Toledano,https://imdb.com/name/nm0865918
