id,movie_id,actor_id
1,1,15537
2,1,11540
3,1,1708
4,1,16501
5,1,2817
6,1,5514
7,1,10533
8,1,7019
9,1,7351
10,1,9407
11,1,11735
12,1,1920
13,1,3528
14,1,8397
15,1,8515
16,1,12387
17,1,13117
18,1,14317
19,1,7994
20,1,5655
21,1,456
22,1,16165
23,1,7945
24,1,4994
25,1,10132
26,1,297
27,1,11543
28,1,2980
29,1,5241
30,1,11743
31,1,11719
32,1,7786
33,1,5998
34,1,1896
35,1,3931
36,1,3964
37,1,4026
38,1,13498
39,1,3166
40,1,7927
41,1,8983
42,1,4660
43,1,1538
44,1,13731
45,1,8102
46,1,2780
47,1,3843
48,1,2816
49,1,6941
50,1,13689
51,1,2496
52,1,13393
53,1,1885
54,1,12373
55,1,6867
56,1,3694
57,1,5089
58,1,13200
59,1,14142
60,1,14494
61,1,13366
62,1,3457
63,1,563
64,1,5238
65,1,14452
66,1,11138
67,1,15868
68,1,5379
69,1,2761
70,1,11741
71,1,1802
72,1,7714
73,1,10477
74,2,10572
75,2,252
76,2,6878
77,2,13284
78,2,13472
79,2,14938
80,2,8045
81,2,13191
82,2,247
83,2,3774
84,2,60
85,2,15219
86,2,5504
87,2,7906
88,2,13859
89,2,249
90,2,11551
91,2,9640
92,2,8048
93,2,14081
94,2,13182
95,2,390
96,2,15788
97,2,16213
98,2,15319
99,2,16114
100,2,7301
101,2,8584
102,2,1019
103,2,14723
104,2,804
105,2,2981
106,2,4921
107,2,14259
108,2,4933
109,2,2591
110,2,11952
111,2,7884
112,2,10874
113,2,15954
114,2,5209
115,2,2247
116,2,5498
117,2,6578
118,2,13705
119,2,14762
120,2,3908
121,2,13456
122,2,13211
123,2,5717
124,2,13725
125,2,923
126,2,7770
127,2,14788
128,2,9947
129,2,1759
130,2,10982
131,2,12965
132,2,15794
133,2,12380
134,2,12597
135,2,15797
136,2,9935
137,2,13048
138,2,8381
139,2,2261
140,2,3369
141,2,13325
142,2,7788
143,2,2086
144,2,14055
145,2,2789
146,2,15687
147,2,5495
148,2,11895
149,2,5019
150,2,4811
151,2,7801
152,2,5186
153,2,11826
154,2,4164
155,2,13738
156,2,10836
157,2,2952
158,3,2671
159,3,6152
160,3,17
161,3,11036
162,3,10168
163,3,5245
164,3,11540
165,3,11516
166,3,13722
167,3,2801
168,3,2564
169,3,11766
170,3,4543
171,3,13372
172,3,937
173,3,8932
174,3,2919
175,3,8451
176,3,10953
177,3,11694
178,3,11219
179,3,11210
180,3,16508
181,3,3275
182,3,11106
183,3,10824
184,3,16449
185,3,12067
186,3,5725
187,3,4572
188,3,1323
189,3,16184
190,3,4210
191,3,11990
192,3,770
193,3,6908
194,3,15668
195,3,16412
196,3,6910
197,3,12256
198,3,14093
199,3,7396
200,3,12242
201,3,14237
202,3,2478
203,3,16539
204,3,3429
205,3,14801
206,3,8920
207,3,7725
208,3,13197
209,3,3348
210,3,2641
211,3,185
212,3,12688
213,3,12302
214,3,16292
215,3,16173
216,3,11635
217,3,8669
218,3,10788
219,3,11006
220,3,9399
221,3,12556
222,3,10785
223,3,698
224,3,1037
225,3,4036
226,3,6211
227,3,15731
228,3,3012
229,3,15119
230,3,9843
231,3,12539
232,3,8456
233,3,3112
234,3,10816
235,3,15656
236,3,15433
237,3,16423
238,3,92
239,3,15905
240,3,1971
241,3,3385
242,3,5489
243,3,8282
244,3,6991
245,3,11858
246,3,6454
247,3,9451
248,3,5697
249,3,13680
250,3,13753
251,3,16260
252,3,11048
253,3,5949
254,3,1825
255,3,7313
256,3,15866
257,3,10837
258,3,14896
259,3,504
260,3,11304
261,3,16328
262,3,10596
263,3,15727
264,3,12297
265,3,1679
266,3,2674
267,3,3003
268,3,8237
269,3,4051
270,3,3618
271,3,10054
272,3,10472
273,3,14626
274,3,4740
275,3,3413
276,3,8420
277,3,9457
278,3,7028
279,3,10764
